tarjeta_id;national_id;tipo_tarjeta;partido
1;23428060;AMARILLA;1
2;36247259;AMARILLA;1
3;31147263;AMARILLA;1
4;40152823;ROJA;1
5;25393359;AMARILLA;2
6;27537913;AMARILLA;2
7;27549151;AMARILLA;2
8;38528452;ROJA;3
9;29504102;AMARILLA;3
10;37649202;AMARILLA;4
11;39649356;AMARILLA;4
12;33285641;AMARILLA;4
13;23493157;AMARILLA;5
14;30874665;ROJA;5
15;41920292;AMARILLA;6
16;39280759;ROJA;7
17;25479496;AMARILLA;7
18;30336113;AMARILLA;7
19;24242477;AMARILLA;8
20;39121534;ROJA;8
21;36484871;AMARILLA;8
22;30508979;AMARILLA;8
23;27768770;AMARILLA;9
24;34546227;ROJA;9
25;24650623;AMARILLA;9
26;27076652;AMARILLA;9
27;39369816;AMARILLA;10
28;25613006;AMARILLA;10
29;39369816;AMARILLA;10
30;25613006;AMARILLA;10
31;35223762;AMARILLA;11
32;35223762;ROJA;11
33;24855641;AMARILLA;12
34;40587392;AMARILLA;12
35;26832669;AMARILLA;12
36;38539658;AMARILLA;13
37;40197426;AMARILLA;13
38;24169591;AMARILLA;13
39;41443229;AMARILLA;14
40;35223762;ROJA;14
41;36305933;AMARILLA;15
42;39369816;AMARILLA;15
43;25613006;AMARILLA;15
44;27340156;AMARILLA;15
45;33175337;AMARILLA;15
46;29334018;ROJA;16
47;28148587;AMARILLA;16
48;35236454;ROJA;16
49;27188217;AMARILLA;17
50;25404994;AMARILLA;17
51;23655818;AMARILLA;18
52;30693761;AMARILLA;18
53;35831567;AMARILLA;18
54;35278833;AMARILLA;19
55;35316431;AMARILLA;19
56;27236747;ROJA;19
57;34777622;AMARILLA;20
58;33844827;AMARILLA;20
59;31579213;AMARILLA;20
60;32259396;AMARILLA;20
61;23493157;AMARILLA;21
62;30874665;ROJA;21
63;30481397;AMARILLA;21
64;31284958;ROJA;22
65;36089931;AMARILLA;22
66;35115336;AMARILLA;23
67;36630196;AMARILLA;23
68;40223912;ROJA;23
69;38067576;AMARILLA;24
70;23419299;AMARILLA;24
