national_id;nombre;fecha_nacimiento;id_equipo;posicion;ciudad_id;estatura;peso;
26705225;Quemby Franks;1992-02-19;1;ARQUERO;77;1.75;96.42;
36916874;Wilma Landry;1986-10-10;1;ARQUERO;44;2.00;77.12;
34826183;Octavius Carlson;2002-01-19;1;DEFENSOR;2;1.76;91.75;
23428060;Karly Hanson;1985-02-12;1;DEFENSOR;22;2.01;94.7;
36247259;Sean Dillard;1997-03-06;1;DEFENSOR;28;1.76;84.91;
38539658;Wyatt Gomez;1993-09-17;1;DEFENSOR;75;2.01;92.93;
40197426;Cullen Callahan;1989-01-23;1;MEDIOCAMPISTA;14;1.77;86.93;
24169591;Minerva Sargent;1992-11-07;1;MEDIOCAMPISTA;58;2.02;96.57;
39173149;Carly Castaneda;1997-04-21;1;MEDIOCAMPISTA;38;1.76;98.13;
38772719;Geoffrey Coleman;1999-01-25;1;MEDIOCAMPISTA;9;2.01;90.85;
40744924;Quemby Dotson;1998-11-17;1;MEDIOCAMPISTA;4;1.77;89.63;
38732882;Whitney Jacobs;1990-04-14;1;DELANTERO;30;2.02;87.67;
26729076;Molly Frank;1988-09-23;1;DELANTERO;64;1.77;93.65;
39140751;Deborah Mccoy;1985-02-02;1;DELANTERO;21;2.02;75.6;
34374434;Vincent Wright;1993-03-03;1;DELANTERO;42;1.78;95.21;
31712740;Julie Blanchard;1998-06-21;1;DELANTERO;41;2.03;98.14;
39810810;Isaac Lawrence;1987-04-24;1;DELANTERO;77;1.77;81.72;
28690370;Ava Workman;2003-04-09;1;DELANTERO;31;2.02;94.48;
23453984;Alexa Dixon;2003-02-17;2;ARQUERO;78;1.76;91.88;
24637833;Kenyon Mack;2003-08-25;2;ARQUERO;21;2.01;77.03;
27258469;Joseph Byrd;2003-08-13;2;DEFENSOR;22;1.77;93.96;
40412552;Xyla Schmidt;2002-12-20;2;DEFENSOR;45;2.02;80.25;
33151229;Breanna Burnett;1991-02-09;2;DEFENSOR;56;1.77;78.54;
23445569;Josiah Riley;1992-08-11;2;DEFENSOR;28;2.02;81.92;
32720067;Wyatt Fox;1987-09-10;2;MEDIOCAMPISTA;62;1.78;83.9;
30848759;Barbara Beach;1985-06-11;2;MEDIOCAMPISTA;73;2.03;80.29;
30321633;Anika Douglas;1985-05-02;2;MEDIOCAMPISTA;61;1.77;91.26;
26733515;Peter French;1994-11-04;2;MEDIOCAMPISTA;1;2.02;77.56;
41443229;Delilah Mccullough;1997-06-05;2;MEDIOCAMPISTA;76;1.78;77.5;
27549151;Ivan Washington;1987-09-07;2;DELANTERO;25;2.03;94.08;
25667875;Dean Powell;1992-04-18;2;DELANTERO;49;1.78;95.45;
32485655;Garth Levy;1984-10-06;2;DELANTERO;75;2.03;87.8;
30533618;Martha Bird;1989-03-22;2;DELANTERO;71;1.79;85.57;
37115933;Russell Bradshaw;2000-05-07;2;DELANTERO;27;2.04;89.04;
