national_id;nombre;ciudad_id;fecha_nacimiento
28644546;Hillary Olson;7;1996-04-28
28670963;Silas Curtis;2;1991-03-01
31101737;Samantha Haney;1;1986-07-01
35462740;Lillian Bowers;5;1992-06-20
35676568;Sonia Hunt;1;2002-10-06
38113311;Yvonne Houston;3;1996-05-14
38285677;Yuli Tate;10;1987-08-01
41473837;Erica Gallegos;3;2003-04-17
37511027;Sade Rios;22;1993-11-05
36135688;Jerry Logan;28;1998-07-08
24647398;Kyla Olsen;25;2001-03-02
23489295;Sean Marks;27;2002-04-22
28951695;Asher York;58;2003-04-27
35669386;Iliana Hobbs;38;2001-01-01
30340086;Quin Woodard;9;1996-09-11
36944589;Odysseus Wiggins;4;1994-01-11
28857391;Nadine Giles;30;1991-11-15
31933816;Laith Joyce;64;1990-08-01
40947093;Hermione Kemp;21;2003-06-20
40746438;Wang Ruiz;42;2003-05-22
38996174;Zoe Cash;41;1984-10-05
41755103;Asher Day;21;2000-08-11
23407982;Elmo Sosa;31;1988-09-09
31313357;Kieran Perez;16;1986-04-07
