tarjeta_id;national_id;tipo_tarjeta;partido
1;36916874;AMARILLA;1
2;34826183;AMARILLA;1
3;33714568;AMARILLA;1
4;32566543;ROJA;1
5;34065035;AMARILLA;2
6;31321408;AMARILLA;2
7;41443229;AMARILLA;2
8;24132961;ROJA;3
9;37490273;AMARILLA;3
10;24132961;AMARILLA;4
11;37490273;AMARILLA;4
12;30135490;AMARILLA;4
13;33803411;AMARILLA;5
14;32357039;ROJA;5
15;31975294;AMARILLA;6
16;30151061;ROJA;7
17;31777188;AMARILLA;7
18;30336113;AMARILLA;7
19;39121534;AMARILLA;8
20;36484871;ROJA;8
21;32594785;AMARILLA;8
22;41605203;AMARILLA;8
23;23765021;AMARILLA;9
24;29984176;ROJA;9
25;31987739;AMARILLA;9
26;24448397;AMARILLA;9
27;30316235;AMARILLA;10
28;32069910;AMARILLA;10
29;28255514;AMARILLA;10
30;25555448;AMARILLA;10
31;33462621;AMARILLA;11
32;28573646;ROJA;11
33;31719873;AMARILLA;12
34;28573646;AMARILLA;12
35;26706240;AMARILLA;12
36;24169591;AMARILLA;13
37;30151061;AMARILLA;13
38;30917785;AMARILLA;13
39;30321633;AMARILLA;14
40;30576376;ROJA;14
41;35972499;AMARILLA;15
42;40225176;AMARILLA;15
43;41641110;AMARILLA;15
44;35699837;AMARILLA;15
45;30576376;AMARILLA;15
46;30386953;ROJA;16
47;31607629;AMARILLA;16
48;25843578;ROJA;16
49;24301824;AMARILLA;17
50;32630612;AMARILLA;17
51;36944589;AMARILLA;18
52;28857391;AMARILLA;18
53;31931473;AMARILLA;18
54;23202471;AMARILLA;19
55;39280759;AMARILLA;19
56;33106461;ROJA;19
57;32594785;AMARILLA;20
58;39361791;AMARILLA;20
59;24387300;AMARILLA;20
60;27305362;AMARILLA;20
61;24448397;AMARILLA;21
62;33225438;ROJA;21
63;32583605;AMARILLA;21
64;35115336;ROJA;22
65;23911736;AMARILLA;22
66;33462621;AMARILLA;23
67;34288360;AMARILLA;23
68;31407390;ROJA;23
69;31202516;AMARILLA;24
70;30135490;AMARILLA;24
